3PM,APG,BPG,FGP,FTP,MPG,PPG,RPG,SPG,TPG,NAME
1.6,4.1,1.4,44.5,75.8,34.5,16.2,8.6,1.5,2,Marc Gasol
0.4,3.3,1,51.2,72.2,17.4,6.8,6.1,0.1,0.8,Pau Gasol
1.2,2.3,0.7,53.6,85,26.8,14.3,6.7,0.9,1.5,Rudy Gay
3.3,4.4,0.7,44.7,83.4,35.0,25.5,7.9,2.1,2.8,Paul George
0.3,1.4,0.6,53.3,68.1,25.3,10.3,7,0.9,0.9,Taj Gibson
0.5,2.8,0.6,48.6,79.7,27.2,10.6,3.1,1,1.8,Shai Gilgeous-Alexander
0.0,2,2,66.3,62,30.9,14.5,12.4,0.9,1.4,Rudy Gobert
1.7,3.1,0.8,44.7,66.7,32.7,15.5,7.4,0.9,1.9,Aaron Gordon
2.5,1.9,0.4,37.1,78.4,33.0,15.2,2.3,0.5,1.3,Eric Gordon
0.0,1.6,0.6,51,80.6,17.3,5.1,5.6,0.1,1.1,Marcin Gortat
1.2,1.1,1.2,52.3,65.2,30.4,12.2,4.5,0.7,0.9,Jerami Grant
0.7,3.4,0.1,39.2,52.6,19.3,4.3,1.9,1,1.2,Jerian Grant
2.3,1.3,0.8,44.3,92.3,29.8,9.7,4.2,0.9,1,Danny Green
0.4,6.8,0.8,40.9,72.7,30.7,6.5,8.1,1.7,3.1,Draymond Green
1.7,0.4,0.2,41.3,83.3,17.9,7.3,2.5,0.3,0.7,Gerald Green
0.8,0.7,0.7,49.1,77.1,23.2,10.4,6.4,1,1.7,JaMychal Green
1.2,1.3,0.5,50.4,88.5,25.5,10.9,4.8,0.6,1.2,Jeff Green
2.3,5.2,0.5,47.3,73.1,35.9,25.6,9,0.6,3.8,Blake Griffin
2.8,3,0.2,39.6,85.3,33.5,21,3.2,1,2,Tim Hardaway Jr.
4.2,8.4,0.5,45.1,84.9,36.4,31.8,5.7,2.1,5.4,James Harden
0.6,0.8,0.8,47,87.5,19.8,5.3,3.4,0.7,0.7,Maurice Harkless
0.0,1.7,1.5,63.1,60.9,25.4,15.2,6.6,0.8,1.3,Montrezl Harrell
0.9,1.4,0.2,40.2,78.6,15.7,6.9,1.7,1,0.7,Devin Harris
1.7,2.9,0.4,43.8,79.1,32.3,16.6,3.2,1.2,1.2,Gary Harris
2.4,2.5,0.2,49.7,82,29.7,13.3,3.5,0.6,1.4,Joe Harris
1.9,2.2,0.4,50.8,87.3,34.7,21.3,8.3,0.6,2,Tobias Harris
0.3,1.6,0.4,42.4,62.2,16.8,5.9,2.6,1.5,0.8,Shaquille Harrison
1.7,1.1,0.6,43,64.3,25.5,8.9,3.2,1,0.8,Josh Hart
1.3,3.5,0.3,40.5,88.7,26.8,10.9,5.1,1.1,1.4,Gordon Hayward
1.6,1,0.5,47.8,80,27.6,9.9,5.6,0.5,0.8,Juancho Hernangomez
0.8,1,0.1,38.3,63.2,17.6,7.2,3.2,0.7,1.1,Mario Hezonja
3.0,2.5,0.4,47.9,86.2,30.7,19.9,5,0.5,1.9,Buddy Hield
0.5,1.5,0.2,35.7,66.7,20.7,4.5,2.5,0.8,0.3,George Hill
0.8,1.4,0.2,39.7,64.3,22.4,4.3,3.6,0.6,0.8,Solomon Hill
1.6,8.8,0.8,47.3,76.7,36.7,20.7,4.3,1.8,3.8,Jrue Holiday
2.7,2.4,0.6,39,89.7,35.1,12.1,4.6,1.7,1.2,Justin Holiday
0.3,1.9,0.4,41,66.4,24.5,10.4,5.8,0.9,1.2,Rondae Hollis-Jefferson
0.0,0.6,1.2,65.7,65.5,15.2,7.3,4.5,0.6,0.9,Richaun Holmes
1.2,2.1,0.1,44.4,88.9,28.1,12.9,2.4,0.8,0.8,Rodney Hood
1.3,3.4,1.7,49.1,70,30.0,12.4,6.4,0.8,1.5,Al Horford
1.1,0.5,0.2,42.3,75.8,20.5,7.6,2.9,0.5,0.8,Danuel House Jr.
0.0,0.4,0.4,62.3,60.4,25.4,12.8,9.2,0.8,1.8,Dwight Howard
1.5,2.1,0.4,43.1,79.2,23.4,7.5,3,0.8,1.4,Kevin Huerter
0.3,0.7,0.1,41.1,55.6,16.9,4,3.7,0.5,0.6,Chandler Hutchison
0.7,1.3,1.4,55.2,84,27.9,16.7,7.5,0.5,1.7,Serge Ibaka
0.7,2.8,0.6,46.3,61.5,22.9,5,3.3,0.8,0.9,Andre Iguodala
1.0,1.2,0.2,43,87.5,19.9,7.5,5.5,0.5,0.9,Ersan Ilyasova
2.2,4.6,0.2,44.3,66,31.3,12,3.8,1.6,2.2,Joe Ingles
0.6,2.2,0.7,47,62.6,30.7,15.2,4,0.7,2.2,Brandon Ingram
2.7,6.4,0.4,47.8,84,32.1,22.6,4.9,1.7,2.7,Kyrie Irving
0.7,0.8,1.2,42.8,81.6,23.7,8,5,0.9,1.1,Jonathan Isaac
0.4,0.9,0.2,36.7,77.8,17.0,4.4,1.9,0.4,0.6,Wes Iwundu
0.7,2.3,0.6,38.8,64.3,21.6,9.1,3.8,1,2.4,Josh Jackson
1.1,1.4,0.2,45.1,73.1,20.9,6.9,2.6,0.4,0.4,Justin Jackson
2.0,4.3,0.1,40.1,85.7,28.4,15.2,2.6,0.7,1.8,Reggie Jackson
0.8,1.3,1.8,50.9,76.6,25.3,12.8,4.6,1,1.5,Jaren Jackson Jr.
2.1,7,0.7,52,67.9,34.9,28,7.9,1.3,3.5,LeBron James
1.2,1.8,0.2,46.9,81.4,20.7,7.6,5.3,0.4,0.9,Jonas Jerebko
0.7,2.3,0.3,38.8,70.8,19.8,7.9,3.1,0.5,1.3,James Johnson
1.3,1.3,0.2,40.4,79.3,22.3,9.3,4.2,1,1.5,Stanley Johnson
1.6,2.2,0.6,44.1,69.6,25.5,11.3,3,0.8,1.4,Tyler Johnson
0.9,0.7,0.3,41.3,83.3,16.3,4.1,2.5,0.4,0.6,Wesley Johnson
1.0,7.4,0.7,48.5,84.3,30.9,18.1,10.2,1.5,2.9,Nikola Jokic
0.0,1.2,1,71.6,64.9,17.0,5.4,3.1,0.5,0.7,Damian Jones
0.5,3.1,0,34.7,75,18.1,4.2,1.6,1.1,0.6,Tyus Jones
0.5,0.5,0.8,45.3,61,17.2,6.5,4.5,0.8,0.6,Derrick Jones Jr.
0.0,2.2,1,62.2,73.5,31.2,11,14.1,0.7,2.3,DeAndre Jordan
0.8,3.8,0.2,45.1,50,25.7,7.3,3.7,1.2,1.2,Cory Joseph
0.1,2,0.4,55.5,83.8,27.3,15,11.1,0.4,1.9,Enes Kanter
1.0,1.2,0.2,39.2,50,19.2,5.8,2.6,0.2,1,Luke Kennard
0.2,1.1,1.1,48.7,78,19.7,8.3,5.4,0.5,0.7,Michael Kidd-Gilchrist
0.8,0.7,1.2,43.7,80,17.3,6.3,3.5,0.5,0.5,Maxi Kleber
1.7,0.9,0.4,38,66.2,24.4,11.6,4.1,0.5,1.2,Kevin Knox
2.0,0.9,0.3,41.2,71.4,16.8,8.1,1.7,0.2,0.6,Kyle Korver
0.0,1.2,0.4,47.8,42.9,15.2,3.9,5.4,0.6,0.6,Kosta Koufos
0.8,0.4,0.2,50.5,90.3,16.9,8.6,3.2,0.5,0.8,Rodions Kurucs
1.7,2.2,0.6,48.3,78.2,32.1,18.2,5.8,0.6,1.7,Kyle Kuzma
1.4,1.8,0.3,44.1,88.4,28.9,14.9,5.8,1.1,0.9,Jeremy Lamb
1.7,4.8,0.5,45,86.9,35.2,23.8,4.9,1.1,4,Zach LaVine
0.8,0.3,0.4,51,54.5,15.7,5.6,2.5,0.6,0.6,Jake Layman
